,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,11.23,11.96,11.23,11.93,11.861019,87421800
1,2020-01-03,11.57,12.0,11.53,11.97,11.900788,85885800
2,2020-01-06,11.84,12.21,11.84,12.14,12.069806,111948700
3,2020-01-07,12.15,12.24,11.92,12.05,11.980326,70579300
4,2020-01-08,11.99,12.05,11.87,11.94,11.870962,55402500
5,2020-01-09,12.07,12.09,11.83,11.91,11.841135,39377100
6,2020-01-10,11.84,11.91,11.59,11.67,11.602523,58652000
7,2020-01-13,11.74,12.15,11.68,12.12,12.04992,66161500
8,2020-01-14,12.16,12.19,11.99,12.03,11.960441,45030000
9,2020-01-15,12.02,12.02,11.83,11.87,11.801366,46051000
10,2020-01-16,11.94,11.98,11.82,11.84,11.771541,36673600
11,2020-01-17,11.85,11.93,11.76,11.81,11.741714,46580700
12,2020-01-21,11.74,11.8,11.61,11.66,11.59258,43738200
13,2020-01-22,11.71,11.71,11.35,11.37,11.304257,61947800
14,2020-01-23,11.73,11.85,11.6,11.77,11.701943,73162900
15,2020-01-24,11.88,11.89,11.62,11.71,11.642292,59375800
16,2020-01-27,11.45,11.59,11.38,11.44,11.373851,47862600
17,2020-01-28,11.52,11.82,11.47,11.73,11.662175,62928600
18,2020-01-29,12.57,13.0,12.49,12.94,12.865178,220689300
19,2020-01-30,12.89,12.99,12.5,12.73,12.656393,95469300
20,2020-01-31,12.68,12.74,12.34,12.45,12.378012,77984000
21,2020-02-03,12.46,12.68,12.25,12.26,12.189111,50368500
22,2020-02-04,12.49,12.62,12.39,12.58,12.50726,44385200
23,2020-02-05,12.76,12.86,12.57,12.86,12.785642,50073900
24,2020-02-06,12.94,13.0,12.83,12.95,12.875122,63613900
25,2020-02-07,13.02,13.09,12.81,12.83,12.755815,66636600
26,2020-02-10,12.84,12.97,12.77,12.91,12.835352,33495500
27,2020-02-11,12.95,12.98,12.78,12.85,12.775701,40882300
28,2020-02-12,12.95,13.26,12.88,13.16,13.083906,65712900
29,2020-02-13,13.08,13.16,12.9,12.94,12.865178,51012300
30,2020-02-14,12.97,13.07,12.75,12.83,12.755815,36967100
31,2020-02-18,12.71,12.95,12.67,12.75,12.676279,43963500
32,2020-02-19,12.7,12.94,12.59,12.61,12.537086,54878300
33,2020-02-20,12.65,12.68,12.41,12.53,12.457549,39561900
34,2020-02-21,12.45,12.46,12.22,12.25,12.179169,42921200
35,2020-02-24,11.69,12.06,11.6,11.86,11.791425,70978000
36,2020-02-25,11.97,12.0,11.18,11.32,11.254546,81087400
37,2020-02-26,11.37,11.54,10.8,10.95,10.886686,93118000
38,2020-02-27,10.62,10.95,10.31,10.39,10.329924,94250500
39,2020-02-28,9.95,11.19,9.86,10.88,10.81709,151316100
40,2020-03-02,11.21,11.34,10.76,11.21,11.145183,124802200
41,2020-03-03,11.25,11.38,10.67,10.88,10.81709,109249200
42,2020-03-04,11.06,11.12,10.7,10.95,10.886686,83063100
43,2020-03-05,10.6,10.73,9.95,10.08,10.021716,108087200
44,2020-03-06,9.74,9.76,9.18,9.4,9.354928,148463500
45,2020-03-09,8.33,8.66,8.11,8.21,8.170634,122400700
46,2020-03-10,8.78,8.85,8.16,8.85,8.807567,98938900
47,2020-03-11,8.62,8.66,8.16,8.21,8.170634,103402500
48,2020-03-12,7.23,7.78,6.83,7.23,7.195333,157416100
49,2020-03-13,7.8,8.04,7.19,7.85,7.81236,110144600
50,2020-03-16,6.99,7.15,6.65,6.66,6.628066,115910700
51,2020-03-17,6.91,7.33,6.3,7.08,7.046053,120226000
52,2020-03-18,6.51,6.8,5.9,6.6,6.568355,138927000
53,2020-03-19,6.4,6.91,6.15,6.48,6.44893,98993700
54,2020-03-20,7.01,7.05,6.45,6.52,6.488738,126128700
55,2020-03-23,6.45,6.63,6.03,6.11,6.080704,105631100
56,2020-03-24,6.66,7.06,6.47,7.01,6.976388,119493800
57,2020-03-25,7.45,8.0,6.96,7.56,7.523751,137886500
58,2020-03-26,7.63,8.3,7.51,8.12,8.081066,123180900
59,2020-03-27,7.68,7.87,7.54,7.62,7.583463,93299000
60,2020-03-30,7.54,7.94,7.35,7.89,7.852169,86850200
